date,change
2015-01-01,1.0019
2015-02-01,1.0032
2015-03-01,1.0015
2015-04-01,1.0281
2015-05-01,1.0472
2015-06-01,1.0491
2015-07-01,1.0406
2015-08-01,1.0422
2015-09-01,1.0172
2015-10-01,1.0305
2015-11-01,1.0247
2015-12-01,1.0272
2016-01-01,1.0310
2016-02-01,1.0259
2016-03-01,1.0227
2016-04-01,1.0220
2016-05-01,1.0239
2016-06-01,1.0233
2016-07-01,1.0292
2016-08-01,1.0210
2016-09-01,1.0238
2016-10-01,1.0170
2016-11-01,1.0180
2016-12-01,1.0170
2017-01-01,1.0329
2017-02-01,1.0310
2017-03-01,1.0311
2017-04-01,1.0279
2017-05-01,1.0231
2017-06-01,1.0222
2017-07-01,1.0258
2017-08-01,1.0313
2017-09-01,1.0316
2017-10-01,1.0227
2017-11-01,1.0014
2017-12-01,1.0070
2018-01-01,1.0443
2018-02-01,1.0541
2018-03-01,1.0296
2018-04-01,1.0337
2018-05-01,1.0203
2018-06-01,1.0229
2018-07-01,1.0272
2018-08-01,1.0278
2018-09-01,1.0164
2018-10-01,1.0201
2018-11-01,1.0168
2018-12-01,1.0235
2019-01-01,1.0217
2019-02-01,1.0165
2019-03-01,1.0322
2019-04-01,1.0255
2019-05-01,1.0161
2019-06-01,1.0162
2019-07-01,1.0009
2019-08-01,1.0050
2019-09-01,1.0174
2019-10-01,1.0221
2019-11-01,1.0365
2019-12-01,1.0269
2020-01-01,1.0214
2020-02-01,1.0145
2020-03-01,1.0248
2020-04-01,1.0226
2020-05-01,1.0200
2020-06-01,1.0188
2020-07-01,1.0158
2020-08-01,1.0319
2020-09-01,1.0184
2020-10-01,1.0233
2020-11-01,1.0340
2020-12-01,1.0273
2021-01-01,1.0218
2021-02-01,1.0338
2021-03-01,1.0222
